
timestamp,ip_address,event,status
2025-01-01 10:01:00,192.168.1.2,login_success,success
2025-01-01 10:02:00,192.168.1.4,login_failed,failed
2025-01-01 10:02:10,192.168.1.4,login_failed,failed
2025-01-01 10:02:20,192.168.1.4,login_failed,failed
2025-01-01 10:03:00,192.168.1.10,login_success,success
2025-01-01 10:04:00,192.168.1.4,login_failed,failed
2025-01-01 10:05:00,192.168.1.8,login_success,success
2025-01-01 10:06:00,192.168.1.4,login_failed,failed
2025-01-01 10:07:00,192.168.1.4,login_failed,failed
2025-01-01 10:08:00,192.168.1.15,login_success,success
